q_group_key,hkl,branch,table,row,point_type,source,selection_origin,detector_display_x,detector_display_y,detector_native_x,detector_native_y,caked_2theta,caked_phi,residual_2theta,residual_phi_wrapped,residual_norm
"('q_group', 'primary', 1, 10)","(-1, 0, 10)",1,160,120,manual_release_saved_caked,raw_caked_x/raw_caked_y,caked,1832.0342637875463,1084.9353947634536,1084.9353947634536,1166.9657362124537,40.31780585352589,-36.594368646334914,,,
"('q_group', 'primary', 1, 10)","(-1, 0, 10)",1,160,120,manual_release_fitspace_caked,raw_detector_native_px+fit_space_projector,caked,1832.0342637875463,1084.9353947634536,1084.9353947634536,1166.9657362124537,40.31665024185768,-36.74999999182833,,,
"('q_group', 'primary', 1, 10)","(-1, 0, 10)",1,160,120,manual_saved_caked,entry_caked_deg,caked,1848.0460943878386,1081.8160006356104,1081.8160006356104,1150.9539056121614,40.85298785727099,-37.56585258715225,,,
"('q_group', 'primary', 1, 10)","(-1, 0, 10)",1,160,120,manual_fitspace_caked,entry_detector_native+fit_space_projector,caked,1848.0460943878386,1081.8160006356104,1081.8160006356104,1150.9539056121614,40.85589083496425,-37.73212752500453,,,
"('q_group', 'primary', 1, 10)","(-1, 0, 10)",1,160,120,fit_observed,background/manual,caked,1849.5810985346227,1082.9056033274035,1081.8160006356104,1150.9539056121614,40.85589083496425,-37.73212752500453,,,
"('q_group', 'primary', 1, 10)","(-1, 0, 10)",1,160,120,sim_saved_caked,entry_visual_caked,caked,1829.272053528747,1085.3251647951656,1085.3251647951656,1169.727946471253,40.23099696365823,-36.41500571700365,,,
"('q_group', 'primary', 1, 10)","(-1, 0, 10)",1,160,120,sim_nominal_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,1913.6748352048344,1829.272053528747,1085.3251647951656,1169.727946471253,40.22961697179445,-36.27497505491374,,,
"('q_group', 'primary', 1, 10)","(-1, 0, 10)",1,160,120,sim_refined_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,1913.6748352048344,1829.272053528747,1085.3251647951656,1169.727946471253,40.22961697179445,-36.27497505491374,-0.6262738631697999,1.45715247009079,1.5860366555604306
"('q_group', 'primary', 1, 10)","(-1, 0, 10)",0,160,42,manual_release_saved_caked,raw_caked_x/raw_caked_y,caked,1079.8108061597068,1080.0952314774422,1080.0952314774422,1919.1891938402932,40.31780585352589,35.85703138933479,,,
"('q_group', 'primary', 1, 10)","(-1, 0, 10)",0,160,42,manual_release_fitspace_caked,raw_detector_native_px+fit_space_projector,caked,1079.8108061597068,1080.0952314774422,1080.0952314774422,1919.1891938402932,40.31922143260553,35.75053528224129,,,
"('q_group', 'primary', 1, 10)","(-1, 0, 10)",0,160,42,manual_saved_caked,entry_caked_deg,caked,1084.7218823668009,1081.4190956439036,1081.4190956439036,1914.2781176331991,40.14250893640562,35.566836371696525,,,
"('q_group', 'primary', 1, 10)","(-1, 0, 10)",0,160,42,manual_fitspace_caked,entry_detector_native+fit_space_projector,caked,1084.7218823668009,1081.4190956439036,1081.4190956439036,1914.2781176331991,40.14114634317084,35.71393112448442,,,
"('q_group', 'primary', 1, 10)","(-1, 0, 10)",0,160,42,fit_observed,background/manual,caked,1083.416284315024,1082.387555972898,1081.4190956439036,1914.2781176331991,40.14114634317084,35.71393112448442,,,
"('q_group', 'primary', 1, 10)","(-1, 0, 10)",0,160,42,sim_saved_caked,entry_visual_caked,caked,1077.7377490307258,1085.5198517900624,1085.5198517900624,1921.2622509692742,40.17722458552713,36.296562316778335,,,
"('q_group', 'primary', 1, 10)","(-1, 0, 10)",0,160,42,sim_nominal_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,1913.4801482099376,1077.7377490307258,1085.5198517900624,1921.2622509692742,40.17670432070647,36.25,,,
"('q_group', 'primary', 1, 10)","(-1, 0, 10)",0,160,42,sim_refined_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,1913.4801482099376,1077.7377490307258,1085.5198517900624,1921.2622509692742,40.17670432070646,36.25,0.03555797753562473,0.536068875515582,0.5372468790630287
"('q_group', 'primary', 1, 16)","(-1, 0, 16)",1,222,32,manual_release_saved_caked,raw_caked_x/raw_caked_y,caked,1664.1600222692412,432.6572216741936,432.6572216741936,1334.8399777307588,57.611703684213886,-10.306692527198123,,,
