stage,q_group_key,hkl,branch,table,row,point_type,two_theta,phi,residual_2theta,residual_phi_wrapped,residual_norm,refinement_status,source
observed_x0,"('q_group', 'primary', 1, 10)","(-1, 0, 10)",1,160,120,observed,45.85589083496425,-37.73212752500453,,,,,background/manual
predicted_x0_nominal,"('q_group', 'primary', 1, 10)","(-1, 0, 10)",1,160,120,predicted_nominal,40.22961697179445,-36.27497505491374,-5.6262738631698,1.45715247009079,5.811905961427741,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_x0_refined,"('q_group', 'primary', 1, 10)","(-1, 0, 10)",1,160,120,predicted_refined,40.22961697179445,-36.27497505491374,-5.6262738631698,1.45715247009079,5.811905961427741,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_trial,"('q_group', 'primary', 1, 10)","(-1, 0, 10)",1,160,120,observed,45.85589083496425,-37.73212752500453,,,,,background/manual
predicted_trial_nominal,"('q_group', 'primary', 1, 10)","(-1, 0, 10)",1,160,120,predicted_nominal,40.22961697179445,-36.27497505491374,-5.6262738631698,1.45715247009079,5.811905961427741,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_trial_refined,"('q_group', 'primary', 1, 10)","(-1, 0, 10)",1,160,120,predicted_refined,40.22961697179445,-36.27497505491374,-5.6262738631698,1.45715247009079,5.811905961427741,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_x0,"('q_group', 'primary', 1, 10)","(-1, 0, 10)",0,160,42,observed,45.14114634317084,35.71393112448442,,,,,background/manual
predicted_x0_nominal,"('q_group', 'primary', 1, 10)","(-1, 0, 10)",0,160,42,predicted_nominal,40.17670432070647,36.25,-4.964442022464368,0.536068875515582,4.993300955651146,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_x0_refined,"('q_group', 'primary', 1, 10)","(-1, 0, 10)",0,160,42,predicted_refined,40.17670432070647,36.25,-4.964442022464368,0.536068875515582,4.993300955651146,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_trial,"('q_group', 'primary', 1, 10)","(-1, 0, 10)",0,160,42,observed,45.14114634317084,35.71393112448442,,,,,background/manual
predicted_trial_nominal,"('q_group', 'primary', 1, 10)","(-1, 0, 10)",0,160,42,predicted_nominal,40.17670432070647,36.25,-4.964442022464368,0.536068875515582,4.993300955651146,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_trial_refined,"('q_group', 'primary', 1, 10)","(-1, 0, 10)",0,160,42,predicted_refined,40.17670432070647,36.25,-4.964442022464368,0.536068875515582,4.993300955651146,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_x0,"('q_group', 'primary', 1, 16)","(-1, 0, 16)",1,222,32,observed,63.11942877861077,-13.75,,,,,background/manual
predicted_x0_nominal,"('q_group', 'primary', 1, 16)","(-1, 0, 16)",1,222,32,predicted_nominal,57.54858110491048,-9.75,-5.570847673700285,4.0,6.858158922303557,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_x0_refined,"('q_group', 'primary', 1, 16)","(-1, 0, 16)",1,222,32,predicted_refined,57.54858110491048,-9.75,-5.570847673700285,4.0,6.858158922303557,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_trial,"('q_group', 'primary', 1, 16)","(-1, 0, 16)",1,222,32,observed,63.11942877861077,-13.75,,,,,background/manual
predicted_trial_nominal,"('q_group', 'primary', 1, 16)","(-1, 0, 16)",1,222,32,predicted_nominal,57.54858110491048,-9.75,-5.570847673700285,4.0,6.858158922303557,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_trial_refined,"('q_group', 'primary', 1, 16)","(-1, 0, 16)",1,222,32,predicted_refined,57.54858110491048,-9.75,-5.570847673700285,4.0,6.858158922303557,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_x0,"('q_group', 'primary', 1, 16)","(-1, 0, 16)",0,222,75,observed,62.69129302333556,11.75,,,,,background/manual
predicted_x0_nominal,"('q_group', 'primary', 1, 16)","(-1, 0, 16)",0,222,75,predicted_nominal,57.19774575263818,11.75,-5.493547270697384,0.0,5.493547270697384,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_x0_refined,"('q_group', 'primary', 1, 16)","(-1, 0, 16)",0,222,75,predicted_refined,57.19774575263818,11.75,-5.493547270697384,0.0,5.493547270697384,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_trial,"('q_group', 'primary', 1, 16)","(-1, 0, 16)",0,222,75,observed,62.69129302333556,11.75,,,,,background/manual
predicted_trial_nominal,"('q_group', 'primary', 1, 16)","(-1, 0, 16)",0,222,75,predicted_nominal,57.19774575263818,11.75,-5.493547270697384,0.0,5.493547270697384,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_trial_refined,"('q_group', 'primary', 1, 16)","(-1, 0, 16)",0,222,75,predicted_refined,57.19774575263818,11.75,-5.493547270697384,0.0,5.493547270697384,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_x0,"('q_group', 'primary', 1, 5)","(-1, 0, 5)",0,111,11,observed,34.29161614738359,57.18141608120496,,,,,background/manual
predicted_x0_nominal,"('q_group', 'primary', 1, 5)","(-1, 0, 5)",0,111,11,predicted_nominal,29.419307610634707,58.180643067872694,-4.872308536748886,0.9992269866677361,4.973715416885163,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_x0_refined,"('q_group', 'primary', 1, 5)","(-1, 0, 5)",0,111,11,predicted_refined,29.419307610634707,58.180643067872694,-4.872308536748886,0.9992269866677361,4.973715416885163,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_trial,"('q_group', 'primary', 1, 5)","(-1, 0, 5)",0,111,11,observed,34.29161614738359,57.18141608120496,,,,,background/manual
predicted_trial_nominal,"('q_group', 'primary', 1, 5)","(-1, 0, 5)",0,111,11,predicted_nominal,29.419307610634707,58.180643067872694,-4.872308536748886,0.9992269866677361,4.973715416885163,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_trial_refined,"('q_group', 'primary', 1, 5)","(-1, 0, 5)",0,111,11,predicted_refined,29.419307610634707,58.180643067872694,-4.872308536748886,0.9992269866677361,4.973715416885163,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_x0,"('q_group', 'primary', 1, 5)","(-1, 0, 5)",1,111,172,observed,34.8624041741179,-59.16048751370546,,,,,background/manual
predicted_x0_nominal,"('q_group', 'primary', 1, 5)","(-1, 0, 5)",1,111,172,predicted_nominal,29.342453627280364,-58.25,-5.519950546837535,0.9104875137054478,5.594536759388173,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_x0_refined,"('q_group', 'primary', 1, 5)","(-1, 0, 5)",1,111,172,predicted_refined,29.342453627280364,-58.25,-5.519950546837535,0.9104875137054478,5.594536759388173,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_trial,"('q_group', 'primary', 1, 5)","(-1, 0, 5)",1,111,172,observed,34.8624041741179,-59.16048751370546,,,,,background/manual
predicted_trial_nominal,"('q_group', 'primary', 1, 5)","(-1, 0, 5)",1,111,172,predicted_nominal,29.342453627280364,-58.25,-5.519950546837535,0.9104875137054478,5.594536759388173,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_trial_refined,"('q_group', 'primary', 1, 5)","(-1, 0, 5)",1,111,172,predicted_refined,29.342453627280364,-58.25,-5.519950546837535,0.9104875137054478,5.594536759388173,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
