parameter,parameter_value,baseline_value,sweep_min,sweep_max,sweep_source,sweep_index,runtime_s,centroid_shift_px,visible_peak_count,total_peak_weight,centroid_x_px,centroid_y_px,radius_gyration_px,x_span_px,y_span_px,anisotropy_ratio
zb,-0.002,0.0,-0.002,0.002,bounds:absolute,0,2.5269217999994,98.06075009724613,425.0,6.534412477876013e+19,1265.6578316049063,952.5867503305835,787.5361534166566,1963.1194496560684,1730.81535461777,1.602063041118415
zb,0.0,0.0,-0.002,0.002,bounds:absolute,1,2.4273399999983667,0.0,425.0,6.534412477876013e+19,1212.5040694349639,870.1817245323001,796.9130243878135,2053.662151035417,1656.5835348136625,1.9993004252705102
zb,0.002,0.0,-0.002,0.002,bounds:absolute,2,2.3247023000003537,178.54748156971465,425.0,6.534412477876013e+19,1037.7608296346268,833.5210737065238,854.3758850613477,2144.2048524147667,1685.6570377223834,2.780226380112297
zs,-0.002,0.0,-0.002,0.002,bounds:absolute,0,2.435971899998549,194.81623483432796,425.0,6.534412477876013e+19,1025.198216013116,816.6104390433622,860.6879691448632,2145.8857353891863,1665.82237403781,2.7870709247169314
zs,0.0,0.0,-0.002,0.002,bounds:absolute,1,2.4079901999975846,0.0,425.0,6.534412477876013e+19,1212.5040694349639,870.1817245323001,796.9130243878135,2053.662151035417,1656.5835348136625,1.9993004252705102
zs,0.002,0.0,-0.002,0.002,bounds:absolute,2,2.536044899999979,114.79596414066712,425.0,6.534412477876013e+19,1265.8781407313588,971.8149961328576,789.5887211239766,1961.4385666816477,1750.3095391935285,1.6140980413301158
theta_offset,-0.5,0.0,-0.5,0.5,bounds:absolute,0,2.4551112999979523,21.10005024736297,425.0,6.534412477876013e+19,1191.497336213677,868.1994834241282,786.6222743620359,2076.7932558308976,1653.1936172957078,2.139015007543618
theta_offset,0.0,0.0,-0.5,0.5,bounds:absolute,1,2.4653906999992614,0.0,425.0,6.534412477876013e+19,1212.5040694349639,870.1817245323001,796.9130243878135,2053.662151035417,1656.5835348136625,1.9993004252705102
theta_offset,0.5,0.0,-0.5,0.5,bounds:absolute,2,2.5653210999989824,26.914392837057964,425.0,6.534412477876013e+19,1186.0620722889478,875.2022154164223,778.6770129901116,2166.306402700994,1659.8118759920628,2.083600763826153
psi_z,-2.0,0.0,-2.0,2.0,bounds:relative,0,2.570718700000725,84.08874776532022,425.0,6.534412477876013e+19,1128.9048989904404,879.2424199651664,817.8937982696242,2336.0640342937345,1650.1173184134886,2.042496096344728
psi_z,0.0,0.0,-2.0,2.0,bounds:relative,1,2.346792100001039,0.0,425.0,6.534412477876013e+19,1212.5040694349639,870.1817245323001,796.9130243878135,2053.662151035417,1656.5835348136625,1.9993004252705102
psi_z,2.0,0.0,-2.0,2.0,bounds:relative,2,2.3755089000005682,7.903786804347381,425.0,6.534412477876013e+19,1220.4021520202175,869.8814957443915,853.7410575408002,2227.4583413047058,1663.784152957348,1.8306168044262325
chi,-1.0,0.0,-1.0,1.0,bounds:absolute,0,2.3351935999999114,56.51501248246862,425.0,6.534412477876013e+19,1156.1541998252083,874.4989957604168,838.8633207092329,2805.6121521429386,1683.100407388602,1.7216915208974923
chi,0.0,0.0,-1.0,1.0,bounds:absolute,1,2.4248625000000175,0.0,425.0,6.534412477876013e+19,1212.5040694349639,870.1817245323001,796.9130243878135,2053.662151035417,1656.5835348136625,1.9993004252705102
chi,1.0,0.0,-1.0,1.0,bounds:absolute,2,2.422745299998496,217.24556069290742,425.0,6.534412477876013e+19,1026.1063247542481,981.7680786205955,808.6112384073705,2424.490922997348,1699.9065997801872,1.88994567302267
cor_angle,-2.0,0.0,-2.0,2.0,bounds:absolute,0,2.2876206999972055,40.69056571146586,425.0,6.534412477876013e+19,1172.020633111563,874.2821539449678,791.2727375796954,1935.4727794691391,1656.2654793509125,2.2476093449635712
cor_angle,0.0,0.0,-2.0,2.0,bounds:absolute,1,2.7718675000032817,0.0,425.0,6.534412477876013e+19,1212.5040694349639,870.1817245323001,796.9130243878135,2053.662151035417,1656.5835348136625,1.9993004252705102
cor_angle,2.0,0.0,-2.0,2.0,bounds:absolute,2,2.529596299998957,36.64750314565151,425.0,6.534412477876013e+19,1175.8809855440525,871.5193392488022,780.7136900721,1926.633362858171,1656.4741231874784,2.0260781054910453
gamma,-1.0010000000000003,0.9989999999999997,-1.0010000000000003,2.9989999999999997,bounds:relative,0,2.6250885000008566,53.22607417996012,425.0,6.534412477876013e+19,1264.0313926500964,883.5215121952982,810.6895077815348,2037.9880975505314,1655.7773130727087,1.724578639725948
gamma,0.9989999999999997,0.9989999999999997,-1.0010000000000003,2.9989999999999997,bounds:relative,1,2.5070641999991494,0.0,425.0,6.534412477876013e+19,1212.5040694349639,870.1817245323001,796.9130243878135,2053.662151035417,1656.5835348136625,1.9993004252705102
gamma,2.9989999999999997,0.9989999999999997,-1.0010000000000003,2.9989999999999997,bounds:relative,2,2.467655799999193,59.51497702581469,425.0,6.534412477876013e+19,1154.7888842743944,855.6562334127397,805.8284044792783,2070.2112291365866,1657.4580197204746,2.368536942429672
Gamma,-5.579000000000001,-3.579,-5.579000000000001,-1.5790000000000002,bounds:relative,0,2.723481700002594,27.544784007092847,425.0,6.534412477876013e+19,1185.8978169420218,877.3107114364269,796.8609820070131,2118.064354482456,1655.7972625632713,2.3754816657018427
Gamma,-3.5790000000000006,-3.579,-5.579000000000001,-1.5790000000000002,bounds:relative,1,2.772447100000136,0.0,425.0,6.534412477876013e+19,1212.5040694349639,870.1817245323001,796.9130243878135,2053.662151035417,1656.5835348136625,1.9993004252705102
Gamma,-1.5790000000000002,-3.579,-5.579000000000001,-1.5790000000000002,bounds:relative,2,2.495080799999414,30.09455762993206,425.0,6.534412477876013e+19,1242.5040756886308,867.7980249452617,811.4973311480355,1994.6898299267032,1657.5304552931964,1.6681544279192522
corto_detector,0.024999999999999994,0.075,0.024999999999999994,0.125,bounds:relative_min0,0,2.9201911999989534,442.44011438069407,425.0,6.534412477876013e+19,1349.1139714028302,1291.0035270776668,542.2702416367773,1770.1723059315516,1669.8360931880295,3.2097480453418137
corto_detector,0.075,0.075,0.024999999999999994,0.125,bounds:relative_min0,1,4.033230699998967,0.0,425.0,6.534412477876013e+19,1212.5040694349639,870.1817245323001,796.9130243878135,2053.662151035417,1656.5835348136625,1.9993004252705102
corto_detector,0.125,0.075,0.024999999999999994,0.125,bounds:relative_min0,2,4.785084099999949,715.6057050419278,425.0,6.534412477876013e+19,602.3959465721803,496.20364562204486,947.5449203249782,2094.1291823216784,1694.07179660224,2.581036383459084
center_x,1536.422,1596.422,1536.422,1656.422,center_prior_pm3sigma,0,7.156325899999501,58.07393254550799,425.0,6.534412477876013e+19,1177.2707647329014,824.0168473953269,779.5201589774043,2053.662151035417,1596.583534813662,2.233393781259501
center_x,1596.422,1596.422,1536.422,1656.422,center_prior_pm3sigma,1,6.7646937999998045,0.0,425.0,6.534412477876013e+19,1212.5040694349639,870.1817245323001,796.9130243878135,2053.662151035417,1656.5835348136625,1.9993004252705102
center_x,1656.422,1596.422,1536.422,1656.422,center_prior_pm3sigma,2,7.035683999998582,67.17546274328737,425.0,6.534412477876013e+19,1263.1624146314587,914.2983297589896,835.9023059082374,2053.662151035417,1716.5835348136625,1.6781988171087394
center_y,1393.12,1453.12,1393.12,1513.12,center_prior_pm3sigma,0,7.044611900000746,47.27301226757183,425.0,6.534412477876013e+19,1165.2321743591897,869.8567248476952,781.1476600467537,1993.662151035417,1656.5835348136625,1.9801378546764326
center_y,1453.12,1453.12,1393.12,1513.12,center_prior_pm3sigma,1,6.815602499998931,0.0,425.0,6.534412477876013e+19,1212.5040694349639,870.1817245323001,796.9130243878135,2053.662151035417,1656.5835348136625,1.9993004252705102
center_y,1513.12,1453.12,1393.12,1513.12,center_prior_pm3sigma,2,7.264881200000673,47.51890249928819,425.0,6.534412477876013e+19,1260.0222130471802,870.4502806449445,814.30325691642,2113.6621510354166,1656.5835348136625,2.0144971610994036
