parameter,parameter_value,baseline_value,sweep_min,sweep_max,sweep_source,sweep_index,runtime_s,centroid_shift_px,visible_peak_count,total_peak_weight,centroid_x_px,centroid_y_px,radius_gyration_px,x_span_px,y_span_px,anisotropy_ratio
zb,-0.002,0.0,-0.002,0.002,bounds:absolute,0,0.07847050006967038,279.2496216124428,425.0,2.367406758554085e+18,1015.5660485995804,1086.4007426334038,764.4568470873844,2590.748809694828,1587.9055248735478,4.074410314827422
zb,-0.0013333333333333335,0.0,-0.002,0.002,bounds:absolute,1,0.07874250004533678,38.991363075105355,425.0,2.367406758554085e+18,976.1214291166433,849.060023190932,963.6007555977299,2249.6549244659386,1596.248237187175,5.340409464524013
zb,-0.0006666666666666668,0.0,-0.002,0.002,bounds:absolute,2,0.07533589995000511,19.211989413795948,425.0,2.367406758554085e+18,977.4583980354419,829.1617643933713,964.2173914765718,2351.026938832505,1577.7495400415723,4.802253239492195
zb,0.0,0.0,-0.002,0.002,bounds:absolute,3,0.07183899998199195,0.0,425.0,2.367406758554085e+18,975.2363634869097,810.0787064701522,964.0911573619389,2452.3989531990715,1583.0619074189435,4.529675424110848
zb,0.0006666666666666665,0.0,-0.002,0.002,bounds:absolute,4,0.06824629998300225,75.14882163916116,425.0,2.367406758554085e+18,910.8755980927448,771.2838966158466,927.9201256067602,2553.770967565638,1588.3742747963147,5.601255206879165
zb,0.001333333333333333,0.0,-0.002,0.002,bounds:absolute,5,0.06652759993448853,89.15847067488015,425.0,2.367406758554085e+18,906.2521938634904,753.594927962949,925.9704955552264,2655.142981932204,1593.6866421736859,5.220847545532999
zb,0.002,0.0,-0.002,0.002,bounds:absolute,6,0.020052800071425736,1267.7986730327204,425.0,2.367406758554085e+18,0.0,0.0,0.0,0.0,0.0,1.0
zs,-0.002,0.0,-0.002,0.002,bounds:absolute,0,0.020068599958904088,1267.7986730327204,425.0,2.367406758554085e+18,0.0,0.0,0.0,0.0,0.0,1.0
zs,-0.0013333333333333335,0.0,-0.002,0.002,bounds:absolute,1,0.06639950000680983,94.81146532218845,425.0,2.367406758554085e+18,906.2509916489028,745.0384694709494,922.0091450026382,2656.229000513548,1580.3367541529765,5.194479930256286
zs,-0.0006666666666666668,0.0,-0.002,0.002,bounds:absolute,2,0.06802410003729165,77.45066088422313,425.0,2.367406758554085e+18,910.8760077336369,766.9933321684811,925.9019423193796,2554.3139768563096,1581.6993307859602,5.586036294117609
zs,0.0,0.0,-0.002,0.002,bounds:absolute,3,0.07466110005043447,0.0,425.0,2.367406758554085e+18,975.2363634869097,810.0787064701522,964.0911573619389,2452.3989531990715,1583.0619074189435,4.529675424110848
zs,0.0006666666666666665,0.0,-0.002,0.002,bounds:absolute,4,0.0763465000782162,23.665745319242934,425.0,2.367406758554085e+18,977.4410518386175,833.6415342034085,966.2198274202631,2350.4839295418333,1584.424484051927,4.813877082808012
zs,0.001333333333333333,0.0,-0.002,0.002,bounds:absolute,5,0.0766772999195382,48.22738295812855,425.0,2.367406758554085e+18,979.9240624232513,858.0777267275721,967.6351626673381,2248.568905884595,1609.5656605189934,5.136729471618106
zs,0.002,0.0,-0.002,0.002,bounds:absolute,6,0.07872180000413209,296.2728765330114,425.0,2.367406758554085e+18,1016.0137256191451,1103.531980615597,765.7145541493401,2588.082917985019,1607.8816598712758,4.091196901004931
