phi_deg,none disabled,L<=0.01 disabled,L<=0.02 disabled,L<=0.03 disabled,L<=0.04 disabled,L<=0.05 disabled,L<=0.06 disabled,L<=0.07 disabled,L<=0.08 disabled,L<=0.09 disabled,L<=0.10 disabled,L<=0.11 disabled,L<=0.12 disabled,L<=0.13 disabled,L<=0.14 disabled,L<=0.15 disabled,L<=0.16 disabled,L<=0.17 disabled,L<=0.18 disabled,L<=0.19 disabled
-65.75,1257369972351.693,1257369972351.693,1257369972351.693,1257369972351.693,1257368761704.9736,1168774253701.7976,1168767011794.8342,982297897389.2518,982287214267.712,644656846521.2133,644632522378.5504,131498798833.07695,131483021233.2114,5914049358.532877,5912618855.537866,345906.77260126127,345423.0344454692,0.0,0.0,0.0
-65.25,1180254222549.082,1180254222549.082,1180254222549.082,1180254222549.082,1180253265377.685,1110207855703.3914,1110202129622.379,958256273205.2031,958247047254.7415,641040583925.2283,641016959632.8623,138709752698.22516,138694251722.0087,12026564154.107296,12024864832.147627,908968149.470613,908823220.2704185,7872.16333769383,0.0,0.0
-64.75,1101175807477.9956,1101175807477.9956,1101175807477.9956,1101175807477.9956,1101175317455.3667,1065315537389.91,1065312605317.1814,969548285857.6512,969540823672.821,661822047251.3472,661798201843.7264,156066125283.96506,156050567959.47256,23747209706.293488,23744977561.03611,2653340494.1706276,2652918398.1413703,22986.109930100254,0.0,0.0
-64.25,1029772805264.1755,1029772805264.1755,1029772805264.1755,1029772805264.1755,1029772805264.1853,1029772549138.0203,1029772547905.2666,992817216325.2686,992811541219.7512,688219546684.3823,688194712159.1772,159447623068.08444,159431470990.76627,23628778379.42254,23626535477.037727,2640105393.1106653,2639685402.5343704,22871.45314610715,0.0,0.0
-63.75,998419900937.6187,998419900937.6187,998419900937.6187,998419900937.6187,998419900937.6283,998419644950.7798,998419643718.6965,960614230110.0906,960608577669.4075,671250549955.2037,671227524741.43,186893665062.7705,186878584186.1344,45008562455.25529,45005289506.87608,5723876589.021701,5722966723.024654,49591.27241106403,0.0,0.0
-63.25,875405722181.4235,875405722181.4235,875405722181.4235,875405722181.4235,875405722181.4235,875405473699.2435,875405472506.5277,834354570406.3292,834348778079.4369,572004042103.0271,571984458083.3049,173257679163.61447,173245188194.78174,47965498145.539406,47962206860.71331,6236131944.039175,6235140816.858882,155344.0042286889,101306.45648687797,0.0
-62.75,848671361347.3538,848671361347.3538,848671361347.3538,848671361347.3538,848671361347.3538,848671151056.9667,848671150047.5715,809259332429.4376,809253836879.7494,566993067463.8934,566975214313.0741,201943634163.9361,201931421298.4376,59062338356.60638,59058017920.17375,6733078308.224354,6731956152.897144,159454.1341493203,102135.62544664161,0.0
-62.25,748989525564.08,748989525564.08,748989525564.08,748989525564.08,748989525564.08,748989331590.6072,748989330659.5333,715723587725.0374,715719217168.6229,550340655413.6545,550329443598.3575,314482433750.94775,314471241664.3309,102522451781.47974,102514109547.27464,8732079516.05003,8730442344.62168,5307100.90386025,5236061.1064251205,0.0
-61.75,797330461856.0739,797330461856.0739,797330461856.0739,797330461856.0739,797330461856.0739,797330311460.538,797330310738.6385,764016081329.0514,764011703748.088,597994234091.1587,597982897219.7417,354147702630.04095,354135441202.2765,112554428857.49532,112544912856.07661,8717805786.00067,8716104007.867268,7300138.191008777,7230427.130362086,0.0
-61.25,840805974219.2341,840805974219.2341,840805974219.2341,840805974219.2341,840805974219.2341,840805891991.8159,840805891597.1238,808849329297.4458,808845208011.7393,660589142346.6077,660579259619.2815,437673958110.36816,437660500721.29254,138762629397.5901,138750499430.85507,10042804710.223671,10040834458.808743,150926877.4630964,150837234.23998147,1709.0461624625389
-60.75,793066937170.6683,793066937170.6683,793066937170.6683,793066937170.6683,793066937170.6683,793066937170.6713,793066937170.6713,763876929016.6556,763873299332.7284,648190554693.0374,648183465662.239,480038476617.99835,480025580816.8841,156545917911.00803,156532299074.77103,12166139244.529167,12163934443.790823,473465395.72297907,473333698.5814387,5650.362460883764
