phi_deg,none,<= 0.01,<= 0.02,<= 0.03,<= 0.04,<= 0.05,<= 0.06,<= 0.07,<= 0.08,<= 0.09,<= 0.10,<= 0.11,<= 0.12,<= 0.13,<= 0.14,<= 0.15,<= 0.16,<= 0.17,<= 0.18,<= 0.19
-59.81884058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-59.45652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-59.0942029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-58.73188406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-58.36956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-58.00724638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-57.64492754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-57.2826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-56.92028986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-56.55797101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-56.19565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-55.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-55.47101449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-55.10869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-54.74637681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-54.38405797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-54.02173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-53.65942029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-53.29710145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
