phi_deg,none disabled,L<=0.01 disabled,L<=0.02 disabled,L<=0.03 disabled,L<=0.04 disabled,L<=0.05 disabled,L<=0.06 disabled,L<=0.07 disabled,L<=0.08 disabled,L<=0.09 disabled,L<=0.10 disabled,L<=0.11 disabled,L<=0.12 disabled,L<=0.13 disabled,L<=0.14 disabled,L<=0.15 disabled,L<=0.16 disabled,L<=0.17 disabled,L<=0.18 disabled,L<=0.19 disabled
-19.75,2441483199577639.0,2441483199577639.0,2441483199577639.0,2441483199577639.0,2441471181165802.5,2003262014444693.2,2003231896986874.2,1343921239067880.5,1343888669515228.2,804981390993320.6,804960606849055.9,495492077515936.06,495479191778757.06,263472285493513.72,263463040866174.84,129384944632756.1,129380642230485.23,59656818636257.305,59654228587288.79,3889080222.4680424
-19.25,3054321583437516.0,3054321583437516.0,3054321583437516.0,3054321583437516.0,3054310855044851.0,2556279424646226.5,2556239780715334.5,1581182383438434.5,1581132486683750.5,814444307039852.2,814418430807151.5,530663662236977.9,530654046800305.1,356221876067881.7,356213277900752.44,194488808391890.78,194481953332123.2,68723912685802.84,68719726945519.46,3277445337.381001
-18.75,3090785101623178.0,3090785101623178.0,3090785101623178.0,3090785101623178.0,3090774381598896.5,2592921963182577.0,2592882330242199.0,1617719821858279.5,1617669813406578.0,846469263516358.4,846443141438615.9,558902999792729.25,558893324119233.5,384580252004013.1,384571472660118.9,212502170413548.47,212494536458648.6,69474961805220.125,69470298396083.45,2834553550.8890314
-18.25,1.0066041099677154e+16,4268148993442747.0,4268058425773956.0,3390054902958293.0,3390019329776298.0,2632521957994416.5,2632475687547268.5,1629591647003624.0,1629542157597206.5,882533103025986.1,882507671201941.6,602643322609126.5,602634015920970.2,441565708705215.8,441557519425371.6,273011057467678.5,273003017733387.44,108738538770872.58,108732297905617.86,4188985254.5671725
-17.75,1.1373517679277486e+16,4803537105211910.0,4803434476901996.0,3808509730124178.0,3808471428085765.0,3044349871909038.0,3044304480684389.0,2031578202782364.2,2031523399652966.8,1068181112643310.2,1068143978960681.2,599668035115225.0,599656523114510.8,468518212538203.56,468511861098607.44,321225453732799.0,321217321773965.75,143654300048402.06,143646849662412.8,5500185152.052708
-17.25,2.0421593979882532e+16,6293298757770297.0,6293078062591557.0,4153560267388569.0,4153489658696528.5,3051631461258149.5,3051577340910232.5,2001125326354805.0,2001071363299439.5,1078758211087059.0,1078722452246434.8,623855441515225.4,623843948963367.0,489249454358485.0,489242773352391.6,338178754702802.0,338170517316907.9,158159343106033.38,158151563676757.9,6449890203.525048
-16.75,2.267177043988995e+16,7499669620626181.0,7499412740824468.0,4642559899245905.0,4642460377698420.0,3184620306310547.5,3184557811232349.5,2092960972986434.8,2092907767999219.8,1189732175059233.8,1189695814394179.5,676217744626102.8,676201697531378.9,471903688215980.2,471894662294120.9,316933145326227.44,316926102726085.7,170549700365798.28,170542561245440.28,8154563490.159593
-16.25,2.7567330858000976e+16,1.0061184571860992e+16,1.0060847249375882e+16,5613174332025935.0,5613010719651206.0,3381989200292706.0,3381910273139241.0,2273994956156797.5,2273946803035216.5,1437176730344929.8,1437139220643497.8,800637366695784.4,800613254491970.9,481805261840236.5,481792302986637.6,303161496365384.94,303154815339058.25,173249690236888.28,173242777544047.78,8580452448.875856
-15.75,3.649284873405519e+16,1.386036434108437e+16,1.3859885196280806e+16,6898852646865336.0,6898590088100315.0,3456190631506068.5,3456082767173843.5,2199505817869125.8,2199459788608021.5,1438916446345473.0,1438881874089129.0,827871028625398.2,827847122434898.5,497593167362656.2,497579000143983.9,289780780306287.2,289772885882948.75,153059292181713.16,153052827248288.3,7864270670.498238
-15.25,4.2392082509277544e+16,1.6523091706484416e+16,1.65225418557626e+16,8351218003614568.0,8350899339144704.0,4012752331317829.0,4012612608228835.0,2404119988165589.5,2404069042523547.5,1672235680041844.2,1672204015259164.2,1090469125550890.6,1090444005716008.4,671125806804907.0,671104190706763.2,299052763009228.44,299038327840393.6,116657475143637.28,116651433752708.0,6774638199.144773
