phi_deg,none disabled,L<=0.01 disabled,L<=0.02 disabled,L<=0.03 disabled,L<=0.04 disabled,L<=0.05 disabled,L<=0.06 disabled,L<=0.07 disabled,L<=0.08 disabled,L<=0.09 disabled,L<=0.10 disabled,L<=0.11 disabled,L<=0.12 disabled,L<=0.13 disabled,L<=0.14 disabled,L<=0.15 disabled,L<=0.16 disabled,L<=0.17 disabled,L<=0.18 disabled,L<=0.19 disabled
-19.75,2178012498057788.8,2178012498057788.8,2178012498057788.8,2178012498057788.8,2178001753301996.0,1786488994108219.8,1786462112471802.2,1198069268208121.8,1198040215368705.2,717637316173973.8,717618785939374.5,441636263946624.1,441624765505603.94,234781394023433.66,234773156122503.97,115433573500436.14,115429745602871.1,53326647076465.9,53324335391899.33,3474952959.0851274
-19.25,2725579124725654.5,2725579124725654.5,2725579124725654.5,2725579124725654.5,2725569523078141.5,2280291189642052.0,2280255784669601.5,1409559252741755.2,1409514731113518.8,726011710917562.8,725988657484749.6,473254284194196.9,473245702382042.6,317596862579165.9,317589186551955.4,173350852989274.38,173344739541303.88,61249175713956.74,61245446662955.25,2925585700.5447307
-18.75,2758840882881500.5,2758840882881500.5,2758840882881500.5,2758840882881500.5,2758831286115779.0,2313591834943532.5,2313556430195453.5,1442526849340703.0,1442482215476321.0,754755758477544.1,754732479285389.5,498557804096077.25,498549166483913.6,342962145957259.2,342954304701739.5,189398696060827.3,189391883770316.4,61862783489821.24,61858629714657.734,2528603662.940705
-18.25,8977295201151911.0,3806880597087027.5,3806799847425925.5,3023598959807234.0,3023567214498343.5,2347261478199334.0,2347220187393022.5,1452240543006757.2,1452196407786793.5,786503083788455.8,786480436273965.0,537341526737917.6,537333226258914.9,393692497105687.4,393685187003132.25,243315662442283.06,243308488641150.75,96833396648864.66,96827835487335.14,3729643865.368255
-17.75,1.0153010678444304e+16,4288599393772470.5,4288507805519263.5,3400182078130018.0,3400147871131622.5,2717377425877879.0,2717336882784637.0,1812593049907671.0,1812544108948622.2,952687808301038.4,952654689260999.4,535328301596153.6,535318051233304.94,418369618272512.0,418363943083159.2,286682368516681.1,286675101066616.6,128119182386386.28,128112532098671.3,4899422559.904321
-17.25,1.8231399480469584e+16,5619037195682369.0,5618840220380409.0,3708352540699997.5,3708289500477081.5,2724145445519216.5,2724097114948693.0,1785751471436854.8,1785703279950798.8,962344559908901.8,962312663346875.5,557055846536269.56,557045611605227.44,436977617414287.75,436971647404360.3,301916763991460.4,301909401813256.2,141139123636922.7,141132176860214.97,5749506721.528183
-16.75,2.02445861028634e+16,6697306817831899.0,6697077480269227.0,4145386053619673.0,4145297187407519.0,2843341192396442.5,2843285385947365.0,1868212886878531.2,1868165365851663.8,1061697639534176.6,1061665191461981.9,603799729028080.2,603785422646079.8,421546324485909.56,421538269230360.3,283202175838667.7,283195884675331.3,152413685238436.12,152407301821464.06,7280206690.664166
-16.25,2.4630497399497788e+16,8989350678962789.0,8989049312342825.0,5013968039936455.0,5013821871777708.0,3020948058495736.5,3020877569137084.5,2031199377961516.8,2031156347126266.2,1283356985860348.5,1283323472744212.2,714941223003190.0,714919701730151.2,430447555248401.06,430435995487466.44,271125388863499.72,271119421713957.8,154956936178681.88,154950748743886.28,7666701546.21526
-15.75,3.2605242748457336e+16,1.2383070896835852e+16,1.2382642791295644e+16,6161133747507294.0,6160899193365192.0,3086600815168805.0,3086504512435806.0,1964671156454522.0,1964630034222265.5,1284947388106438.2,1284916495759402.0,739228838311157.6,739207497971597.1,444441316039457.2,444428673779176.3,259049179016202.1,259042131733693.03,136903066027221.61,136897283647656.9,7030080566.090717
-15.25,3.786845119964617e+16,1.4758999170350674e+16,1.475850798464786e+16,7456525600782817.0,7456240964946902.0,3582463725025239.5,3582338997082659.5,2146876560930475.2,2146831079541298.2,1493139501108140.2,1493111211419517.8,973527096076759.9,973504662628568.9,598910377973588.2,598891069919127.5,266833381382908.3,266820513460824.28,104368121926801.8,104362732268936.42,6062640912.334908
-14.75,3.946575123788217e+16,1.6364744541046288e+16,1.6364252473598268e+16,8758148041629733.0,8757832939149760.0,4128265008373294.0,4128104374652463.0,2190844337392401.5,2190789764574185.0,1544603055521946.0,1544578059343475.0,1061012918113386.2,1060989982049412.5,658922581546527.4,658901693853686.1,302468478580080.94,302454532172481.7,113897971945866.81,113891473132812.38,5636016599.659314
-14.25,4.246216151557687e+16,1.9763189626711704e+16,1.9762692520201332e+16,1.139299522071447e+16,1.1392614819281906e+16,5252295181499062.0,5252065482324578.0,2362235497473107.0,2362162232409969.0,1668618820289988.8,1668597426133379.8,1240398997910373.8,1240377424299153.2,848541275715750.0,848520338765681.8,460383028928673.75,460365595040326.4,160852002457471.25,160840694096994.97,5111839952.50847
-13.75,4.9409175803360744e+16,2.179879726924604e+16,2.1798293785719064e+16,1.2936431673349088e+16,1.2936028021749394e+16,6400573320141078.0,6400321861843850.0,2932368653550793.0,2932265539457827.5,1746537580647476.5,1746503762612137.5,1275957219192987.0,1275937568825041.0,919871163083613.5,919850854713052.2,514438507344438.4,514419590761586.75,189535918576066.72,189523390756875.72,7037392499.533934
-13.25,8.04783637436706e+16,2.364127348662118e+16,2.3640769606409572e+16,1.4784159328168302e+16,1.4783755506165594e+16,8117885187311290.0,8117612696381860.0,3843267130983417.5,3843118268590725.0,1876272852659474.8,1876218009310239.2,1286507601807184.8,1286487692382911.2,949109289632074.0,949089862412592.0,558371304839624.25,558352926291792.4,231692190695890.56,231678526996368.3,9638175804.495773
-12.75,8.558443837881333e+16,2.423154278607053e+16,2.423107559109925e+16,1.5954917900366946e+16,1.595452834066577e+16,9250860499245086.0,9250574211484696.0,4570858509064194.0,4570690023597294.0,2210123858269457.5,2210050366567698.0,1329798804103420.0,1329769923216245.0,923978768466888.5,923960359397610.1,573077739183550.2,573060875395762.5,248572149507577.16,248557823224458.3,10210202302.223244
-12.25,6.284109151007112e+17,2.910983144909096e+16,2.910764403490479e+16,1.7182177800109034e+16,1.718179068573003e+16,1.0531028478497922e+16,1.0530740969926654e+16,5762683928244263.0,5762506368503209.0,2989572328072401.0,2989466665411471.5,1477363001322248.0,1477312328628285.5,870294633044995.0,870275705223476.4,552092591289473.25,552077271389533.56,242824290221826.56,242810413744236.38,10290720796.862957
