L_rlu,Qz_A_inv,F2,R_HT_p_0p01,I_HT_p_0p01,R_HT_p_0p001,I_HT_p_0p001,R_HT_p_0p0001,I_HT_p_0p0001,R_HT_p_0p0,I_HT_p_0p0
0.0,0.0,604072.5591331389,50.0,1.9895296512339507e+18,50.0,1.9895296512339507e+18,50.0,1.9895296512339507e+18,50.0,1.9895296512339507e+18
0.001,0.0002194156064806393,604078.6669175661,49.589459441230126,1.9732139499264904e+18,49.589459441230126,1.9732139499264904e+18,49.589459441230126,1.9732139499264904e+18,49.589459441230126,1.9732139499264904e+18
0.002,0.0004388312129612786,604080.7744379264,48.376412637029205,1.9249523259682176e+18,48.376412637029205,1.9249523259682176e+18,48.376412637029205,1.9249523259682176e+18,48.376412637029205,1.9249523259682176e+18
0.003,0.0006582468194419179,604078.8816290193,46.407410591068285,1.8465977152807158e+18,46.407410591068285,1.8465977152807158e+18,46.407410591068285,1.8465977152807158e+18,46.407410591068285,1.8465977152807158e+18
0.004,0.0008776624259225572,604072.9884893452,43.758665641040295,1.741184493405175e+18,43.758665641040295,1.741184493405175e+18,43.758665641040295,1.741184493405175e+18,43.758665641040295,1.741184493405175e+18
0.005,0.0010970780324031965,604063.0950811072,40.53125342790916,1.612737342652107e+18,40.53125342790916,1.612737342652107e+18,40.53125342790916,1.612737342652107e+18,40.53125342790916,1.612737342652107e+18
0.006,0.0013164936388838358,604049.2015302083,36.84590261546913,1.4660636252964708e+18,36.84590261546913,1.4660636252964708e+18,36.84590261546913,1.4660636252964708e+18,36.84590261546913,1.4660636252964708e+18
0.007,0.001535909245364475,604031.3080262524,32.83685279261743,1.3065086202961208e+18,32.83685279261743,1.3065086202961208e+18,32.83685279261743,1.3065086202961208e+18,32.83685279261743,1.3065086202961208e+18
0.008,0.0017553248518451144,604009.4148225379,28.645146633316596,1.1396882266105444e+18,28.645146633316596,1.1396882266105444e+18,28.645146633316596,1.1396882266105444e+18,28.645146633316596,1.1396882266105444e+18
0.009000000000000001,0.0019747404583257537,603983.5222360571,24.41175100949051,9.712148767261996e+17,24.41175100949051,9.712148767261996e+17,24.41175100949051,9.712148767261996e+17,24.41175100949051,9.712148767261996e+17
0.01,0.002194156064806393,603953.6306474851,20.2709047085581,8.064325195635567e+17,20.2709047085581,8.064325195635567e+17,20.2709047085581,8.064325195635567e+17,20.2709047085581,8.064325195635567e+17
0.011,0.0024135716712870322,603919.740501178,16.34406785300837,6.501756288718501e+17,16.34406785300837,6.501756288718501e+17,16.34406785300837,6.501756288718501e+17,16.34406785300837,6.501756288718501e+17
0.012,0.0026329872777676715,603881.8523051597,12.734801963042944,5.065653480367187e+17,12.734801963042944,5.065653480367187e+17,12.734801963042944,5.065653480367187e+17,12.734801963042944,5.065653480367187e+17
0.013000000000000001,0.002852402884248311,603839.9666311145,9.524843352862002,3.7885323538549376e+17,9.524843352862002,3.7885323538549376e+17,9.524843352862002,3.7885323538549376e+17,9.524843352862002,3.7885323538549376e+17
0.014,0.00307181849072895,603794.0841143756,6.771551043351305,2.6931981909754928e+17,6.771551043351305,2.6931981909754928e+17,6.771551043351305,2.6931981909754928e+17,6.771551043351305,2.6931981909754928e+17
0.015,0.0032912340972095894,603744.2054539106,4.506819410592039,1.79231539734944e+17,4.506819410592039,1.79231539734944e+17,4.506819410592039,1.79231539734944e+17,4.506819410592039,1.79231539734944e+17
0.016,0.0035106497036902287,603690.3314123086,2.737451709191514,1.0885590455505613e+17,2.737451709191514,1.0885590455505613e+17,2.737451709191514,1.0885590455505613e+17,2.737451709191514,1.0885590455505613e+17
0.017,0.003730065310170868,603632.4628157662,1.4468998259667956,5.7531057382887464e+16,1.4468998259667956,5.7531057382887464e+16,1.4468998259667956,5.7531057382887464e+16,1.4468998259667956,5.7531057382887464e+16
0.018000000000000002,0.003949480916651507,603570.6005540672,0.5981941642084462,2.378272167316852e+16,0.5981941642084462,2.378272167316852e+16,0.5981941642084462,2.378272167316852e+16,0.5981941642084462,2.378272167316852e+16
0.019,0.004168896523132146,603504.7455805676,0.13782065775103092,5478810908228849.0,0.13782065775103092,5478810908228849.0,0.13782065775103092,5478810908228849.0,0.13782065775103092,5478810908228849.0
0.02,0.004388312129612786,603434.898912174,0.00025363351218629757,10081574484586.494,0.00025363351218629757,10081574484586.494,0.00025363351218629757,10081574484586.494,0.00025363351218629757,10081574484586.494
0.021,0.004607727736093426,603361.0616293242,0.11282622457292632,4484134587899306.0,0.11282622457292632,4484134587899306.0,0.11282622457292632,4484134587899306.0,0.11282622457292632,4484134587899306.0
0.022,0.0048271433425740645,603283.2348759641,0.4006153517719906,1.5919893137808454e+16,0.4006153517719906,1.5919893137808454e+16,0.4006153517719906,1.5919893137808454e+16,0.4006153517719906,1.5919893137808454e+16
0.023,0.005046558949054703,603201.4198595241,0.7910354005505735,3.143037616189676e+16,0.7910354005505735,3.143037616189676e+16,0.7910354005505735,3.143037616189676e+16,0.7910354005505735,3.143037616189676e+16
0.024,0.005265974555535343,603115.6178508943,1.2178715596838128,4.8383063966542696e+16,1.2178715596838128,4.8383063966542696e+16,1.2178715596838128,4.8383063966542696e+16,1.2178715596838128,4.8383063966542696e+16
0.025,0.005485390162015983,603025.8301843986,1.6245369717309086,6.452927992336859e+16,1.6245369717309086,6.452927992336859e+16,1.6245369717309086,6.452927992336859e+16,1.6245369717309086,6.452927992336859e+16
0.026000000000000002,0.005704805768496622,602932.0582577663,1.966402946198449,7.809661250273432e+16,1.966402946198449,7.809661250273432e+16,1.966402946198449,7.809661250273432e+16,1.966402946198449,7.809661250273432e+16
0.027,0.0059242213749772605,602834.3035321039,2.2121233998463334,8.784127100724958e+16,2.2121233998463334,8.784127100724958e+16,2.2121233998463334,8.784127100724958e+16,2.2121233998463334,8.784127100724958e+16
0.028,0.0061436369814579,602732.5675318635,2.343948025171204,9.306019105540109e+16,2.343948025171204,9.306019105540109e+16,2.343948025171204,9.306019105540109e+16,2.343948025171204,9.306019105540109e+16
