L_rlu,Qz_A_inv,bandwidth_sigma_fraction,I_HT_raw_p_0p01,I_HT_bandwidth_avg_p_0p01,I_HT_raw_p_0p001,I_HT_bandwidth_avg_p_0p001,I_HT_raw_p_0p0001,I_HT_bandwidth_avg_p_0p0001,I_HT_raw_p_0p0,I_HT_bandwidth_avg_p_0p0
0.0,0.0,0.006999999999999999,1.9894484715164887e+18,1.9895459688251034e+18,1.9894484715164887e+18,1.9895459688251034e+18,1.9894484715164887e+18,1.9895459688251034e+18,1.9894484715164887e+18,1.9895459688251034e+18
0.001,0.0002194156064806393,0.006999999999999999,1.9731334214563026e+18,1.973138625216416e+18,1.9731334214563026e+18,1.973138625216416e+18,1.9731334214563026e+18,1.973138625216416e+18,1.9731334214563026e+18,1.973138625216416e+18
0.002,0.0004388312129612786,0.006999999999999999,1.9248737529582907e+18,1.9247892628574587e+18,1.9248737529582907e+18,1.9247892628574587e+18,1.9248737529582907e+18,1.9247892628574587e+18,1.9248737529582907e+18,1.9247892628574587e+18
0.003,0.0006582468194419179,0.006999999999999999,1.8465223270008102e+18,1.8463613520135053e+18,1.8465223270008102e+18,1.8463613520135053e+18,1.8465223270008102e+18,1.8463613520135053e+18,1.8465223270008102e+18,1.8463613520135053e+18
0.004,0.0008776624259225572,0.006999999999999999,1.741113395885892e+18,1.7408981240481702e+18,1.741113395885892e+18,1.7408981240481702e+18,1.741113395885892e+18,1.7408981240481702e+18,1.741113395885892e+18,1.7408981240481702e+18
0.005,0.0010970780324031965,0.006999999999999999,1.6126714781514673e+18,1.612431111223505e+18,1.6126714781514673e+18,1.612431111223505e+18,1.6126714781514673e+18,1.612431111223505e+18,1.6126714781514673e+18,1.612431111223505e+18
0.006,0.0013164936388838358,0.006999999999999999,1.4660037402111636e+18,1.4657718341947453e+18,1.4660037402111636e+18,1.4657718341947453e+18,1.4660037402111636e+18,1.4657718341947453e+18,1.4660037402111636e+18,1.4657718341947453e+18
0.007,0.001535909245364475,0.006999999999999999,1.306455243043781e+18,1.3062666746045507e+18,1.306455243043781e+18,1.3062666746045507e+18,1.306455243043781e+18,1.3062666746045507e+18,1.306455243043781e+18,1.3062666746045507e+18
0.008,0.0017553248518451144,0.006999999999999999,1.1396416564145987e+18,1.1395294759451594e+18,1.1396416564145987e+18,1.1395294759451594e+18,1.1396416564145987e+18,1.1395294759451594e+18,1.1396416564145987e+18,1.1395294759451594e+18
0.009000000000000001,0.0019747404583257537,0.006999999999999999,9.711751835925624e+17,9.711676239584778e+17,9.711751835925624e+17,9.711676239584778e+17,9.711751835925624e+17,9.711676239584778e+17,9.711751835925624e+17,9.711676239584778e+17
