phi_deg,zb=+0.0000 m,zb=-0.0005 m,zb=-0.0010 m,zb=-0.0015 m,zb=-0.0020 m,zb=-0.0025 m,zb=-0.0030 m
-19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-17.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16.75,382359520.82966363,50905194260.60827,0.0,0.0,0.0,0.0,0.0
-16.25,4508981183.828219,600300384482.9524,0.0,0.0,0.0,0.0,0.0
-15.75,4504859742.307197,599751678948.6362,0.0,0.0,0.0,0.0,0.0
-15.25,4513202098.622867,917076702029.6312,0.0,0.0,0.0,0.0,0.0
-14.75,4511354485.562226,939870346956.2245,0.0,0.0,0.0,0.0,0.0
-14.25,4518462720.478016,1007605153986.2238,0.0,0.0,0.0,0.0,0.0
-13.75,4509536840.817143,1041943167198.318,28706155578.700253,0.0,0.0,0.0,0.0
-13.25,2638679973.06355,930967041643.1816,168382456562.84134,0.0,0.0,0.0,0.0
-12.75,-172.86391828236475,639204193971.2119,195152322835.434,0.0,0.0,0.0,0.0
-12.25,-173.03069799953548,718270820021.357,3725498801934.2476,0.0,0.0,0.0,0.0
-11.75,-173.1382548946126,930220552689.8121,16026130273941.432,0.0,0.0,0.0,0.0
-11.25,-173.25497627422618,1024935123015.8873,21507853321884.613,0.0,0.0,0.0,0.0
-10.75,-173.20815933330212,1114587151355.7092,53063720571980.47,0.0,0.0,0.0,0.0
-10.25,-173.0467952559388,1118334848929.0002,72226755348323.0,0.0,0.0,0.0,0.0
-9.75,-173.07182852801532,1126914370631.0168,79447490428214.02,0.0,0.0,0.0,0.0
-9.25,-173.10285427300073,1145243467154.2988,84192763118890.92,0.0,0.0,0.0,0.0
-8.75,-173.14774977308102,1160457852095.5818,86238761875887.34,0.0,0.0,0.0,0.0
-8.25,-173.133483214616,1139069425969.0132,89523030097104.23,398443533475.05304,0.0,0.0,0.0
-7.75,-173.03784064714884,1124415975721.983,91274760852651.0,15153186181628.617,0.0,0.0,0.0
-7.25,0.0,1793859766142.5193,85505362867303.86,67002747367631.58,0.0,0.0,0.0
-6.75,0.0,2464679642676.0986,85064976876013.78,120756076312394.23,0.0,0.0,0.0
-6.25,0.0,2897533366656.063,84841945406841.4,125562355956334.22,78018675134.01312,0.0,0.0
-5.75,0.0,3028348522196.53,88397732814556.69,129370986721948.84,20254119699208.438,0.0,0.0
-5.25,0.0,2976260131436.1953,122445595181292.52,133172815307177.97,64984410469329.09,0.0,0.0
-4.75,0.0,2999187820255.3647,228221183194798.1,128037122871991.9,64974437352432.69,0.0,0.0
-4.25,0.0,2999771027787.317,259365463144633.06,127728656563255.62,67663414418237.164,0.0,0.0
-3.75,0.0,3000080205019.1357,261747787937991.4,132520703378171.36,72625893979967.33,0.0,0.0
-3.25,0.0,3002295607423.795,262028570787638.4,312894906462668.44,72679524406212.12,0.0,0.0
-2.75,0.0,2965961099632.2515,262426960283107.4,393403968014190.7,91540405249341.67,0.0,0.0
-2.25,0.0,2922597416820.644,266490337934488.03,393662139906550.25,153630437189872.25,0.0,0.0
-1.75,0.0,2913817101228.2144,263316799571622.22,393921295411471.94,153544821035636.22,0.0,0.0
-1.25,0.0,2911644849529.7725,262829473698590.94,395264130646113.25,155404736728970.72,0.0,0.0
-0.75,0.0,2910767143828.337,262749570008314.88,393704755258983.1,160679644094284.06,0.0,0.0
-0.25,0.0,2910767143828.337,262749570008314.88,393704755258983.1,160679644094284.06,0.0,0.0
0.25,0.0,2910652244323.0415,262722886531528.22,369660056061379.3,119657840980128.81,0.0,0.0
