H,K,m,area_mean,area_std,samples
-4,-3,37,,,20
-4,-2,28,,,20
-4,0,16,,,20
-4,1,13,,,20
-4,3,13,,,20
-4,4,16,,,20
-3,-4,37,,,20
-3,-2,19,,,20
-3,-1,13,,,20
-3,1,7,,,20
-3,2,7,,,20
-3,4,13,,,20
-2,-4,28,,,20
-2,-3,19,,,20
-2,-1,7,,,20
-2,0,4,,,20
-2,2,4,,,20
-2,3,7,,,20
-1,-3,13,,,20
-1,-2,7,,,20
-1,0,1,,,20
-1,1,1,,,20
-1,3,7,,,20
-1,4,13,,,20
0,-4,16,,,20
0,-2,4,,,20
0,-1,1,,,20
0,1,1,,,20
0,2,4,,,20
0,4,16,,,20
1,-4,13,,,20
1,-3,7,,,20
1,-1,1,,,20
1,0,1,,,20
1,2,7,,,20
1,3,13,,,20
2,-3,7,,,20
2,-2,4,,,20
2,0,4,,,20
2,1,7,,,20
2,3,19,,,20
2,4,28,,,20
3,-4,13,,,20
3,-2,7,,,20
3,-1,7,,,20
3,1,13,,,20
3,2,19,,,20
3,4,37,,,20
4,-4,16,,,20
4,-3,13,,,20
4,-1,13,,,20
4,0,16,,,20
4,2,28,,,20
4,3,37,,,20
