H,K,r,ratio_mean,ratio_std,samples
-4,-3,0.6349080329153227,0.9999982533383212,3.8358349411363085e-05,50
-4,-2,0.6048671907885687,1.0000015987228363,2.706996360590126e-05,50
-4,0,0.6288207202150918,0.999992032171219,3.862762689313115e-05,50
-4,1,0.6774639438966767,1.0000040079704222,3.342053916258241e-05,50
-4,3,0.8058340180430458,1.000011565962557,6.836518717421645e-05,50
-4,4,0.8690661789857874,1.0000109534393204,9.054174245523024e-05,50
-3,-4,0.6048671907885687,1.0000086243620647,3.126706537565616e-05,50
-3,-2,0.6288207202150918,0.9999976548679425,3.728840136593054e-05,50
-3,-1,0.6774639438966767,1.0000034829226967,4.0739035096840165e-05,50
-3,1,0.8058340180430458,0.9999951861370471,6.591786499375779e-05,50
-3,2,0.8690661789857874,1.0000152658501764,0.00010639274115675067,50
-3,4,0.9651341479030899,0.999959606608697,0.0004447275887183691,50
-2,-4,0.6288207202150918,1.0000068315227373,2.919401751664458e-05,50
-2,-3,0.6774639438966767,1.0000015278183723,3.906099772757466e-05,50
-2,-1,0.8058340180430458,1.0000010217406468,6.935549792007712e-05,50
-2,0,0.8690661789857874,1.0000328769916402,0.00012858180201710286,50
-2,2,0.9651341479030899,1.0000169304433748,0.00042414805265091066,50
-2,3,0.9911539854234136,1.000037870737409,0.0018033907775856708,50
-1,-3,0.8058340180430458,0.999996216201276,7.903299990520301e-05,50
-1,-2,0.8690661789857874,0.999997163236322,0.00012184524838835841,50
-1,0,0.9651341479030899,1.0000564695259946,0.0004404510723222902,50
-1,1,0.9911539854234136,0.9999788983613318,0.0021587666890046857,50
-1,3,0.9911539854234136,0.9999126295246401,0.0016308587304787305,50
-1,4,0.9651341479030899,1.0001075154977104,0.0004592769838441271,50
0,-4,0.8690661789857874,1.0000163188496716,0.0001064688600173105,50
0,-2,0.9651341479030899,0.9999966789170691,0.0004500526701338668,50
0,-1,0.9911539854234136,0.9998122422280973,0.0014943110015333372,50
0,1,0.9911539854234136,1.0003342717754533,0.0017954492040778381,50
0,2,0.9651341479030899,0.9999232154229567,0.00048241859998356286,50
0,4,0.8690661789857874,1.0000021372688443,9.985648906903337e-05,50
1,-4,0.9651341479030899,1.0000345839572375,0.0004866652209872429,50
1,-3,0.9911539854234136,0.9998800717769162,0.0015329650960607458,50
1,-1,0.9911539854234136,0.9996804961539653,0.0019457255218083523,50
1,0,0.9651341479030899,0.9999809344104649,0.0003987712421205943,50
1,2,0.8690661789857874,1.0000034549135237,0.00010056352593092237,50
1,3,0.8058340180430458,0.9999884176298066,6.909315429420988e-05,50
2,-3,0.9911539854234136,0.9996716844413756,0.0014961804412145943,50
2,-2,0.9651341479030899,0.9999642079281533,0.000427134913895909,50
2,0,0.8690661789857874,1.0000131666259708,0.0001225996291890023,50
2,1,0.8058340180430458,0.999986176822719,7.885306616181372e-05,50
2,3,0.6774639438966767,0.9999954089691413,3.834289904807434e-05,50
2,4,0.6288207202150918,1.0000031417272388,3.809299951067419e-05,50
3,-4,0.9651341479030899,0.99997368493055,0.00038435657650599705,50
3,-2,0.8690661789857874,0.9999924811668661,0.00012705553286687215,50
3,-1,0.8058340180430458,0.9999934387064218,7.153933665196484e-05,50
3,1,0.6774639438966767,0.9999982631192555,4.302544361422542e-05,50
3,2,0.6288207202150918,1.0000002928698923,2.9723419859586016e-05,50
3,4,0.6048671907885687,0.9999937325164516,2.485640316840996e-05,50
4,-4,0.8690661789857874,1.0000038267628417,9.99014623393799e-05,50
4,-3,0.8058340180430458,0.9999981237664538,7.32524679991214e-05,50
4,-1,0.6774639438966767,1.0000006758670235,4.798884566341353e-05,50
4,0,0.6288207202150918,0.999998340508081,3.13541228036649e-05,50
4,2,0.6048671907885687,1.0000015202327392,2.743502329516856e-05,50
4,3,0.6349080329153227,0.9999956841694889,3.2505798024203164e-05,50
