pair_index,pair_id,hkl,source_branch_index,q_group_key,visual_background_x,visual_background_y,visual_simulated_x,visual_simulated_y,visual_dx,visual_dy,visual_distance_px,surface_name,surface_background_x,surface_background_y,surface_simulated_x,surface_simulated_y,surface_dx,surface_dy,surface_distance_px,background_delta_x,background_delta_y,background_delta_px,simulated_delta_x,simulated_delta_y,simulated_delta_px,vector_delta_x,vector_delta_y,vector_delta_px,background_frame_match,simulated_frame_match
0,bg0:pair0,"[0, 0, 3]",0,"[""q_group"", ""primary"", 0, 3]",1455.246663897277,1472.9363426415914,1474.0310239213761,1545.9999590133846,18.784360024099215,73.06361637179316,75.43967271164118,provider_pairs,9.315993437026432,-1.2169320075511507,9.23240071832941,-0.16850620515549508,-0.08359271869702134,1.0484258023956556,1.0517530155640789,-1445.9306704602504,-1474.1532746491425,2064.907596222267,-1464.7986232030466,-1546.16846521854,2129.8525604777897,-18.867952742796234,-72.0151905693975,74.44586834372362,False,False
0,bg0:pair0,"[0, 0, 3]",0,"[""q_group"", ""primary"", 0, 3]",1455.246663897277,1472.9363426415914,1474.0310239213761,1545.9999590133846,18.784360024099215,73.06361637179316,75.43967271164118,manual_point_pairs,9.315993437026432,-1.2169320075511507,9.23240071832941,-0.16850620515549508,-0.08359271869702134,1.0484258023956556,1.0517530155640789,-1445.9306704602504,-1474.1532746491425,2064.907596222267,-1464.7986232030466,-1546.16846521854,2129.8525604777897,-18.867952742796234,-72.0151905693975,74.44586834372362,False,False
0,bg0:pair0,"[0, 0, 3]",0,"[""q_group"", ""primary"", 0, 3]",1455.246663897277,1472.9363426415914,1474.0310239213761,1545.9999590133846,18.784360024099215,73.06361637179316,75.43967271164118,initial_pairs_display,,,,,,,,,,,,,,,,,False,False
0,bg0:pair0,"[0, 0, 3]",0,"[""q_group"", ""primary"", 0, 3]",1455.246663897277,1472.9363426415914,1474.0310239213761,1545.9999590133846,18.784360024099215,73.06361637179316,75.43967271164118,measured_for_fit,9.315993437026432,-1.2169320075511507,,,,,,-1445.9306704602504,-1474.1532746491425,2064.907596222267,,,,,,,False,False
0,bg0:pair0,"[0, 0, 3]",0,"[""q_group"", ""primary"", 0, 3]",1455.246663897277,1472.9363426415914,1474.0310239213761,1545.9999590133846,18.784360024099215,73.06361637179316,75.43967271164118,"spec[""measured_peaks""]",9.315993437026432,-1.2169320075511507,,,,,,-1445.9306704602504,-1474.1532746491425,2064.907596222267,,,,,,,False,False
1,bg0:pair1,"[-1, 0, 5]",0,"[""q_group"", ""primary"", 1, 5]",1099.4480074178325,1367.2678777680248,1371.6919259574572,1902.689057235203,272.2439185396247,535.4211794671783,600.6601290279172,provider_pairs,29.29165538323298,57.079369517688804,29.30669357511847,57.817300355586696,0.015038191885491159,0.7379308378978919,0.7380840526226465,-1070.1563520345994,-1310.188508250336,1691.6939867928959,-1342.3852323823387,-1844.8717568796164,2281.5674242612836,-272.2288803477392,-534.6832486292803,599.9956163674402,False,False
1,bg0:pair1,"[-1, 0, 5]",0,"[""q_group"", ""primary"", 1, 5]",1099.4480074178325,1367.2678777680248,1371.6919259574572,1902.689057235203,272.2439185396247,535.4211794671783,600.6601290279172,manual_point_pairs,29.29165538323298,57.079369517688804,29.30669357511847,57.817300355586696,0.015038191885491159,0.7379308378978919,0.7380840526226465,-1070.1563520345994,-1310.188508250336,1691.6939867928959,-1342.3852323823387,-1844.8717568796164,2281.5674242612836,-272.2288803477392,-534.6832486292803,599.9956163674402,False,False
1,bg0:pair1,"[-1, 0, 5]",0,"[""q_group"", ""primary"", 1, 5]",1099.4480074178325,1367.2678777680248,1371.6919259574572,1902.689057235203,272.2439185396247,535.4211794671783,600.6601290279172,initial_pairs_display,,,,,,,,,,,,,,,,,False,False
1,bg0:pair1,"[-1, 0, 5]",0,"[""q_group"", ""primary"", 1, 5]",1099.4480074178325,1367.2678777680248,1371.6919259574572,1902.689057235203,272.2439185396247,535.4211794671783,600.6601290279172,measured_for_fit,29.29165538323298,57.079369517688804,,,,,,-1070.1563520345994,-1310.188508250336,1691.6939867928959,,,,,,,False,False
1,bg0:pair1,"[-1, 0, 5]",0,"[""q_group"", ""primary"", 1, 5]",1099.4480074178325,1367.2678777680248,1371.6919259574572,1902.689057235203,272.2439185396247,535.4211794671783,600.6601290279172,"spec[""measured_peaks""]",29.29165538323298,57.079369517688804,,,,,,-1070.1563520345994,-1310.188508250336,1691.6939867928959,,,,,,,False,False
2,bg0:pair2,"[-1, 0, 5]",1,"[""q_group"", ""primary"", 1, 5]",1821.9936837473379,1374.6236621955957,1374.1436080914107,1188.877062574429,-447.8500756559272,-185.74659962116675,484.8417159608337,provider_pairs,29.861006834273667,-59.073942507948104,29.290204222695156,-58.18674936607823,-0.570802611578511,0.8871931418698722,1.0549536920480367,-1792.1326769130642,-1433.6976047035437,2295.0443031436807,-1344.8534038687155,-1247.063811940507,1834.0662008087002,447.27927304434866,186.63379276303664,484.6554659716499,False,False
2,bg0:pair2,"[-1, 0, 5]",1,"[""q_group"", ""primary"", 1, 5]",1821.9936837473379,1374.6236621955957,1374.1436080914107,1188.877062574429,-447.8500756559272,-185.74659962116675,484.8417159608337,manual_point_pairs,29.861006834273667,-59.073942507948104,29.290204222695156,-58.18674936607823,-0.570802611578511,0.8871931418698722,1.0549536920480367,-1792.1326769130642,-1433.6976047035437,2295.0443031436807,-1344.8534038687155,-1247.063811940507,1834.0662008087002,447.27927304434866,186.63379276303664,484.6554659716499,False,False
2,bg0:pair2,"[-1, 0, 5]",1,"[""q_group"", ""primary"", 1, 5]",1821.9936837473379,1374.6236621955957,1374.1436080914107,1188.877062574429,-447.8500756559272,-185.74659962116675,484.8417159608337,initial_pairs_display,,,,,,,,,,,,,,,,,False,False
2,bg0:pair2,"[-1, 0, 5]",1,"[""q_group"", ""primary"", 1, 5]",1821.9936837473379,1374.6236621955957,1374.1436080914107,1188.877062574429,-447.8500756559272,-185.74659962116675,484.8417159608337,measured_for_fit,29.861006834273667,-59.073942507948104,,,,,,-1792.1326769130642,-1433.6976047035437,2295.0443031436807,,,,,,,False,False
2,bg0:pair2,"[-1, 0, 5]",1,"[""q_group"", ""primary"", 1, 5]",1821.9936837473379,1374.6236621955957,1374.1436080914107,1188.877062574429,-447.8500756559272,-185.74659962116675,484.8417159608337,"spec[""measured_peaks""]",29.861006834273667,-59.073942507948104,,,,,,-1792.1326769130642,-1433.6976047035437,2295.0443031436807,,,,,,,False,False
3,bg0:pair3,"[-1, 0, 10]",0,"[""q_group"", ""primary"", 1, 10]",1084.7218823668009,1081.4190956439036,1085.9487092625825,1924.1215642301422,1.2268268957816417,842.7024685862386,842.7033616080885,provider_pairs,40.14250893640562,35.566836371696525,40.23746610231249,36.52764480946644,0.09495716590686953,0.9608084377699129,0.9654893668222998,-1044.5793734303952,-1045.852259272207,1478.1586571207492,-1045.71124316027,-1887.5939194206758,2157.897775314138,-1.1318697298747722,-841.7416601484688,841.7424211471023,False,False
3,bg0:pair3,"[-1, 0, 10]",0,"[""q_group"", ""primary"", 1, 10]",1084.7218823668009,1081.4190956439036,1085.9487092625825,1924.1215642301422,1.2268268957816417,842.7024685862386,842.7033616080885,manual_point_pairs,40.14250893640562,35.566836371696525,40.23746610231249,36.52764480946644,0.09495716590686953,0.9608084377699129,0.9654893668222998,-1044.5793734303952,-1045.852259272207,1478.1586571207492,-1045.71124316027,-1887.5939194206758,2157.897775314138,-1.1318697298747722,-841.7416601484688,841.7424211471023,False,False
3,bg0:pair3,"[-1, 0, 10]",0,"[""q_group"", ""primary"", 1, 10]",1084.7218823668009,1081.4190956439036,1085.9487092625825,1924.1215642301422,1.2268268957816417,842.7024685862386,842.7033616080885,initial_pairs_display,,,,,,,,,,,,,,,,,False,False
3,bg0:pair3,"[-1, 0, 10]",0,"[""q_group"", ""primary"", 1, 10]",1084.7218823668009,1081.4190956439036,1085.9487092625825,1924.1215642301422,1.2268268957816417,842.7024685862386,842.7033616080885,measured_for_fit,40.14250893640562,35.566836371696525,,,,,,-1044.5793734303952,-1045.852259272207,1478.1586571207492,,,,,,,False,False
3,bg0:pair3,"[-1, 0, 10]",0,"[""q_group"", ""primary"", 1, 10]",1084.7218823668009,1081.4190956439036,1085.9487092625825,1924.1215642301422,1.2268268957816417,842.7024685862386,842.7033616080885,"spec[""measured_peaks""]",40.14250893640562,35.566836371696525,,,,,,-1044.5793734303952,-1045.852259272207,1478.1586571207492,,,,,,,False,False
4,bg0:pair4,"[-1, 0, 10]",1,"[""q_group"", ""primary"", 1, 10]",1848.0465669515438,1081.8154342999576,1083.7327123257794,1164.444900444942,-764.3138546257644,82.62946614498446,768.7673881274486,provider_pairs,40.85301991187549,-37.56585507558714,40.42724742532755,-36.71166362847427,-0.42577248654794175,0.8541914471128678,0.9544240350190225,-1807.1935470396684,-1119.3812893755448,2125.7852637239434,-1043.3054649004519,-1201.1565640734163,1590.9944640091628,763.8880821392165,-81.7752746978716,768.2526912326716,False,False
4,bg0:pair4,"[-1, 0, 10]",1,"[""q_group"", ""primary"", 1, 10]",1848.0465669515438,1081.8154342999576,1083.7327123257794,1164.444900444942,-764.3138546257644,82.62946614498446,768.7673881274486,manual_point_pairs,40.85301991187549,-37.56585507558714,40.42724742532755,-36.71166362847427,-0.42577248654794175,0.8541914471128678,0.9544240350190225,-1807.1935470396684,-1119.3812893755448,2125.7852637239434,-1043.3054649004519,-1201.1565640734163,1590.9944640091628,763.8880821392165,-81.7752746978716,768.2526912326716,False,False
4,bg0:pair4,"[-1, 0, 10]",1,"[""q_group"", ""primary"", 1, 10]",1848.0465669515438,1081.8154342999576,1083.7327123257794,1164.444900444942,-764.3138546257644,82.62946614498446,768.7673881274486,initial_pairs_display,,,,,,,,,,,,,,,,,False,False
4,bg0:pair4,"[-1, 0, 10]",1,"[""q_group"", ""primary"", 1, 10]",1848.0465669515438,1081.8154342999576,1083.7327123257794,1164.444900444942,-764.3138546257644,82.62946614498446,768.7673881274486,measured_for_fit,40.85301991187549,-37.56585507558714,,,,,,-1807.1935470396684,-1119.3812893755448,2125.7852637239434,,,,,,,False,False
4,bg0:pair4,"[-1, 0, 10]",1,"[""q_group"", ""primary"", 1, 10]",1848.0465669515438,1081.8154342999576,1083.7327123257794,1164.444900444942,-764.3138546257644,82.62946614498446,768.7673881274486,"spec[""measured_peaks""]",40.85301991187549,-37.56585507558714,,,,,,-1807.1935470396684,-1119.3812893755448,2125.7852637239434,,,,,,,False,False
